year,month,label,median_duration
2020,1,fR,137.6666667
2020,1,C,119
2020,1,AW,173
2020,2,R,91.66666667
2020,2,L,122.6666667
2020,2,fR,114
2020,2,C,124
2020,2,AW,154.6666667
2020,3,R,89.66666667
2020,3,L,128
2020,3,fR,103.3333333
2020,3,C,125.3333333
2020,3,AW,155.3333333
2020,4,R,96.66666667
2020,4,L,129.6666667
2020,4,fR,119
2020,4,C,120.3333333
2020,4,AW,163.3333333
2020,5,R,106.6666667
2020,5,L,136
2020,5,fR,118
2020,5,C,112.3333333
2020,5,AW,161.3333333
2020,6,R,115.3333333
2020,6,L,142
2020,6,fR,123.6666667
2020,6,C,105.6666667
2020,6,AW,164
2020,7,R,127.6666667
2020,7,L,149.3333333
2020,7,fR,133
2020,7,C,108
2020,7,AW,161.6666667
2020,8,R,135
2020,8,L,149.3333333
2020,8,fR,144.6666667
2020,8,C,110.3333333
2020,8,AW,168
2020,9,R,146
2020,9,L,153
2020,9,fR,161
2020,9,C,112.6666667
2020,9,AW,156.6666667
2020,10,R,146.3333333
2020,10,L,153
2020,10,fR,139.3333333
2020,10,C,117.6666667
2020,10,AW,146.3333333
2020,11,R,141.6666667
2020,11,L,160.6666667
2020,11,fR,129.6666667
2020,11,C,118.3333333
2020,11,AW,139.6666667
2020,12,R,126.3333333
2020,12,L,165.6666667
2020,12,fR,127
2020,12,C,118.6666667
2020,12,AW,133.6666667
2021,1,R,125.6666667
2021,1,L,176.3333333
2021,1,fR,145.6666667
2021,1,C,114.6666667
2021,1,AW,129.6666667
2021,2,R,130.3333333
2021,2,L,181
2021,2,fR,163
2021,2,C,116.6666667
2021,2,AW,120.6666667
2021,3,R,153
2021,3,L,180.3333333
2021,3,fR,148.6666667
2021,3,C,124.6666667
2021,3,AW,123
2021,4,R,152
2021,4,L,169
2021,4,fR,130.3333333
2021,4,C,118.3333333
2021,4,AW,121
2021,5,R,156.3333333
2021,5,L,167.6666667
2021,5,fR,110.6666667
2021,5,C,122
2021,5,AW,122.6666667
2021,6,R,131.3333333
2021,6,L,168
2021,6,fR,105.3333333
2021,6,C,115.6666667
2021,6,AW,108.6666667
2021,7,R,127.3333333
