channel_name,cluster,subscribers,total_views,total_videos
MSNBC,L,4210000,5653810890,39060
Real Time with Bill Maher,L,2100000,1047489397,1831
Black Conservative Patriot,R,561000,2683575,43
Al Jazeera English,C,7120000,2268860592,90611
Liberty Hangout,AW,608000,83061439,310
CNBC,L,2180000,804180151,14353
Daily Mail,R,1220000,935783389,45426
Consumer Reports,C,348000,154500082,2785
C-SPAN,C,941000,444754821,7796
Sargon of Akkad,AW,917000,302492698,1173
NPR,L,331000,61086259,713
Bite-sized Philosophy,AW,476000,115467697,317
HighImpactFlix,AW,561000,4112789,149
CBC News,L,2570000,1280995664,19017
CBS This Morning,L,1930000,1493090920,29485
Michael Davila Jr,R,583000,,
Masaman,C,405000,82173113,229
ThePatriotNurse,R,396000,31459740,452
Shaun,L,402000,35479332,60
The New Yorker,L,593000,152402440,1337
Shoe0nHead,AW,1580000,122427288,85
The Atheist Experience,L,350000,140698936,3345
Russell Brand,fL,2960000,280119696,1299
Roland S. Martin,L,750000,249697975,12082
Chelsea,L,327000,110734097,227
Today I Found Out,C,2620000,522333090,1796
Golden State Times,R,445000,184824898,3927
African Diaspora News Channel,L,1230000,487789592,4821
StevenCrowder,AW,5370000,1314059302,1166
USA TODAY,C,1940000,1032193382,10655
Lauren Chen,AW,448000,61360299,621
Rebel News,AW,1450000,584751188,14789
Newsmax TV,R,1890000,326793496,28621
AFP News Agency,C,990000,561586628,84386
BlazeTV,R,1450000,527613622,6546
American Thought Leaders - The Epoch Times,R,346000,28838894,525
MILO,AW,827000,141786706,840
IndianExpressOnline,C,783000,251282410,13405
Business Insider,L,4300000,1589316597,4971
The Next News Network,fR,2050000,1242795626,27848
Innuendo Studios,L,334000,26136536,63
Thescariestmovieever,fR,487000,115052542,687
Pat Condell,AW,346000,79474584,185
Global News,L,2390000,1212799728,22775
The Economist,C,1850000,193502305,1930
Rolling Stone,L,678000,228557574,2660
The Thinkery,AW,407000,137943079,986
AJ+,L,965000,240603426,5158
The Humanist Report,L,363000,114440533,3735
Gulf News,R,334000,98400387,4888
MERRY JANE,L,334000,60929149,701
Slightly Offens*ve,AW,373000,31040510,292
Akkad Daily,AW,372000,117848543,631
Turning Point USA,R,359000,44446786,1401
Wall Street Journal,C,2860000,1130149662,26375
Ben Shapiro,AW,2940000,385903017,1691
ABC News (Australia),L,1310000,515132374,62761
CBS Sunday Morning,L,887000,533525286,4770
John Stossel,R,505000,80891606,422
The Liberty Hound,AW,363000,28786082,426
Young America's Foundation,AW,429000,180449107,1641
NewsNOW from FOX,R,1480000,868693868,11211
Trevor Noah,L,2820000,189016586,57
The Daily Wire,AW,2510000,720726064,6806
Democracy Now!,L,878000,271802837,12517
Los Angeles Times,L,445000,364338861,16075
Hasan Minhaj,L,1310000,,
BBC News,L,9470000,2443887497,13394
Ruptly,C,1770000,1294617316,115965
50 Shades,AW,431000,109020723,52
David Pakman Show,L,1300000,870139003,23970
Vaush,fL,345000,108048512,873
VICE News,L,6170000,1888982291,5329
Glamour,L,4060000,1403010491,1782
Repzion,AW,769000,160507509,1509
VICE,L,14100000,3379495309,3360
Lauren Southern,fR,657000,50145590,113
Michael Knowles,AW,509000,80096755,1460
Sky News,L,3240000,1506053918,16336
Forbes,R,1010000,106713783,4113
Larry Elder with Epoch Times,R,570000,51509916,199
VICE TV,L,1700000,282636401,1642
60 Minutes,L,1020000,239134835,1707
Rebel HQ,L,342000,133634104,4447
Dr. Steve Turley,R,748000,217626491,2004
JaclynGlenn,AW,828000,137446191,533
Big Joel,L,384000,36162256,88
Dinesh D'Souza,R,586000,119728762,1595
The Right Opinion,C,1080000,104470861,116
TheQuartering,AW,1090000,482184969,2978
World Economic Forum,C,602000,67114660,7441
Kalvin Garrah,AW,328000,36498035,183
