date,count
2021-01-01,116921
2021-02-01,143456
2021-03-01,126223
2021-04-01,361510
2021-05-01,295165
2021-06-01,289572
2021-07-01,306532
2021-08-01,325584
2021-09-01,287054
2021-10-01,293469
2021-11-01,303083
2021-12-01,277416
2022-01-01,407439
2022-02-01,380978
2022-03-01,371104
2022-04-01,503215
2022-05-01,523545
2022-06-01,558886
2022-07-01,281928
