cluster,Ext URL,HP,Other,Search,User/Channel,Video
AW,0.337268128161889,0.0933108487914559,0.0545250140528387,0.0393479482855537,0.00955593029792018,0.465992130410343
C,0.357774502579219,0.0954310980103169,0.0320560058953574,0.123802505526898,0.00884303610906411,0.382092851879145
fR,0.458699472759227,0.0615114235500879,0.0562390158172232,0.0562390158172232,0.0193321616871705,0.347978910369069
L,0.33497027655725,0.102352028948049,0.0664254329284053,0.0785732747479969,0.00982165934349961,0.4078573274748
R,0.367674858223062,0.0831758034026465,0.0373345935727788,0.0434782608695652,0.00803402646502835,0.460302457466919
fL,0.566137566137566,0.100529100529101,0.0211640211640212,0.0634920634920635,0.00529100529100529,0.243386243386243
