cluster,L,C,AW,R,fR
AW,0.0357149424942097,0.0266512514239055,0.89035181007276,0.0323852013772825,0.0148967946318427
C,0.0416128926852254,0.93014044440752,0.00810455022567214,0.0129051907624003,0.00723692191917687
L,0.939842249233625,0.0340635943694966,0.00988774774218192,0.0108536752278503,0.0053527334268447
R,0.0259898807683511,0.0256687953967843,0.0197580895014298,0.906201779032807,0.022381455300627
fR,0.0209733923998839,0.0216990877290707,0.0136055618420553,0.0359882396707101,0.90773371835828
